step,t_s,max_resid_cross,max_resid_skew
0,1.0000000000000007,1.0175362097255202e-15,8.120890636278657e-16
1,1.9999999999999793,1.538370149106851e-15,5.208159129079274e-16
2,2.9999999999999583,2.7194799110210365e-16,1.2517363568371862e-15
3,3.999999999999937,6.377745716588144e-16,5.095104360360151e-16
4,4.999999999999916,8.308148362110449e-16,1.32117534058094e-15
